Week,Home,Away,Game,Winner,Loser,Score,Comments,Games List,The Rulebook
3,P^5,2-10ers 1CP,Archery,2-10ers 1CP,P^5,2-1,,,
3,BFTs,PTCs,Golf,BFTs,PTCs,30-35,,,
3,2-10ers 1CP,P^5,Knockout,2-10ers 1CP,P^5,3-1,,,
3,PTCs,BFTs,Pool,PTCs,BFTs,5,,,
Friday,,,,,,,,,
3,Kim & Ron,SOAs,Basketball,Kim & Ron,SOAs,165-141,,,
3,SOAs,C & K,Anagrams,SOAs,C & K,Not Scored,,,
3,C & K,NCHs,Basketball,C & K,NCHs,189-165,,,
3,NCHs,Kim & Ron,Pool,NCHs,Kim & Ron,2,,,
3,P^5,BFTs,Pool,P^5,BFTs,7,,,
3,BFTs,2-10ers 1CP,Cup Pong,2-10ers 1CP,BFTs,1,,,
3,2-10ers 1CP,PTCs,Pool,2-10ers 1CP,PTCs,3,,,
3,PTCs,P^5,Darts,PTCs,P^5,9,,,
Monday,,,,,,,,,
4,Kim & Ron,NCHs,Archery,Kim & Ron,NCHs,3-1,,,
4,SOAs,Kim & Ron,Pool,SOAs,Kim & Ron,2,,,
4,C & K,SOAs,Darts,C & K,SOAs,109,,,
4,NCHs,C & K,Golf,C & K,NCHs,34-34:29-34,,,
4,P^5,PTCs,Golf,PTCs,P^5,29-33,,,
4,BFTs,P^5,Darts,P^5,BFTs,30,,,
4,2-10ers 1CP,BFTs,Pool,2-10ers 1CP,BFTs,1,,,
4,PTCs,2-10ers 1CP,Basketball,PTCs,2-10ers 1CP,179-167,,,
Tuesday,,,,,,,,,
4,Kim & Ron,C & K,Golf,C & K,Kim & Ron,18-21:20-13,,,
4,SOAs,NCHs,Archery,SOAs,NCHs,Not Scored,,,
4,C & K,Kim & Ron,Word Hunt,C & K,Kim & Ron,29300-20700:15400-9900,,,
4,NCHs,SOAs,Basketball,NCHs,SOAs,157-146,,,
4,P^5,2-10ers 1CP,Pool,2-10ers 1CP,P^5,2,,,
4,BFTs,PTCs,Golf,PTCs,BFTs,35-35:33-35,,,
4,2-10ers 1CP,P^5,Knockout,2-10ers 1CP,P^5,3-0,,,
4,PTCs,BFTs,Basketball,PTCs,BFTs,163-145,,,
Wednesday,,,,,,,,,
4,Kim & Ron,SOAs,Darts,Kim & Ron,SOAs,139,,,
4,SOAs,C & K,Anagrams,SOAs,C & K,Not Scored,,,
4,C & K,NCHs,Pool,C & K,NCHs,7,,,
4,NCHs,Kim & Ron,Cup Pong,Kim & Ron,NCHs,13,,,
4,P^5,BFTs,Pool,P^5,BFTs,7,,,
4,BFTs,2-10ers 1CP,Golf,BFTs,2-10ers 1CP,27-30,,,
4,2-10ers 1CP,PTCs,Word Hunt,PTCs,2-10ers 1CP,13400-10900:11200-7800,,,
4,PTCs,P^5,Darts,PTCs,P^5,138,,,
Thursday,,,,,,,,,
4,Kim & Ron,P^5,Basketball,Kim & Ron,P^5,101-83,,,
4,SOAs,BFTs,Anagrams,SOAs,BFTs,Not Scored,,,
4,C & K,2-10ers 1CP,Basketball,C & K,2-10ers 1CP,184-167,,,
4,NCHs,PTCs,Darts,NCHs,PTCs,85,,,
4,P^5,SOAs,Cup Pong,SOAs,P^5,2,,,
4,BFTs,C & K,Pool,BFTs,C & K,4,,,
4,2-10ers 1CP,NCHs,Pool,2-10ers 1CP,NCHs,1,,,
4,PTCs,Kim & Ron,Archery,PTCs,Kim & Ron,Not Scored,,,
Friday,,,,,,,,,
4,Kim & Ron,PTCs,Cup Pong,Kim & Ron,PTCs,0.5,AGAIN,,
4,SOAs,P^5,Cup Pong,SOAs,P^5,2,,,
4,C & K,BFTs,Basketball,C & K,BFTs,189-139,,,
4,NCHs,2-10ers 1CP,Golf,2-10ers 1CP,NCHs,34-35,,,
4,P^5,NCHs,Darts,P^5,NCHs,24,,,
4,BFTs,Kim & Ron,Knockout,BFTs,Kim & Ron,3-0,,,
4,2-10ers 1CP,SOAs,Basketball,2-10ers 1CP,SOAs,168-143,,,
4,PTCs,C & K,Pool,PTCs,C & K,10,,,
Monday,,,,,,,,,
5,Kim & Ron,SOAs,Darts,Kim & Ron,SOAs,166,,,
5,SOAs,C & K,Anagrams,SOAs,C & K,Not scored,,,
5,C & K,NCHs,Pool,C & K,NCHs,11,,,
5,NCHs,Kim & Ron,Darts,Kim & Ron,NCHs,36,,,
5,P^5,BFTs,Pool,BFTs,P^5,3,,,
5,BFTs,2-10ers 1CP,Word Hunt,2-10ers 1CP,BFTs,26000-23900:11900-14600:22100-22700,,,
5,2-10ers 1CP,PTCs,Pool,PTCs,2-10ers 1CP,2 OT 2,,,
5,PTCs,P^5,Archery,PTCs,P^5,3-0,,,
Tuesday,,,,,,,,,
5,Kim & Ron,C & K,Archery,Kim & Ron,C & K,SD 2,Went to second round of sudden death!!!,,
5,SOAs,NCHs,Archery,SOAs,NCHs,Not Scored,,,
5,C & K,Kim & Ron,Word Hunt,C & K,Kim & Ron,17800-15600:22900-16400,,,
5,NCHs,SOAs,Basketball,NCHs,SOAs,163-153,,,
5,P^5,2-10ers 1CP,Cup Pong,2-10ers 1CP,P^5,6,,,
5,BFTs,PTCs,Golf,BFTs,PTCs,35-35:37-38,"The 35-35 was added by brick, it's a guess.",,
5,2-10ers 1CP,P^5,Knockout,2-10ers 1CP,P^5,2-0-2,,,
5,PTCs,BFTs,Archery,PTCs,BFTs,2-0,,,
Wednesday,,,,,,,,,
5,Kim & Ron,P^5,Anagrams,Kim & Ron,P^5,20700-16900:-25300,,,
5,SOAs,BFTs,Anagrams,SOAs,BFTs,Not Scored,,,
5,C & K,2-10ers 1CP,Basketball,C & K,2-10ers 1CP,186-155,,,
5,NCHs,PTCs,Darts,PTCs,NCHs,75,,,
5,P^5,Kim & Ron,Pool,Kim & Ron,P^5,3,,,
5,BFTs,SOAs,Knockout,BFTs,SOAs,3-1,,,
5,2-10ers 1CP,C & K,Archery,C & K,2-10ers 1CP,SD 3,3 sudden death games!!!  Is this the longest game in AGL history?,,
5,PTCs,NCHs,Pool,PTCs,NCHs,5,,,
Thursday,,,,,,,,,
5,Kim & Ron,NCHs,Word Hunt,Kim & Ron,NCHs,14600-13400:14400-12500,,,
5,SOAs,Kim & Ron,Pool,SOAs,Kim & Ron,5,"Violates game limits, but since it has no real ramofacations (and we can't be bothered to wait for the new game to be played we have let it slide)",,
5,C & K,SOAs,Darts,C & K,SOAs,41,,,
5,NCHs,C & K,Cup Pong,NCHs,C & K,3,,,
5,P^5,PTCs,Golf,PTCs,P^5,39-43,,,
5,BFTs,P^5,Cup Pong,BFTs,P^5,5,,,
5,2-10ers 1CP,BFTs,Basketball,2-10ers 1CP,BFTs,166-154,,,
5,PTCs,2-10ers 1CP,Basketball,PTCs,2-10ers 1CP,163-145,,,
Friday,,,,,,,,,
5,Kim & Ron,BFTs,Pool,Kim & Ron,BFTs,2,,,
5,SOAs,2-10ers 1CP,Cup Pong,SOAs,2-10ers 1CP,4,,,
5,C & K,PTCs,Word Hunt,C & K,PTCs,Not Scored,,,
5,NCHs,P^5,Golf,NCHs,P^5,31-34,,,
5,P^5,C & K,Darts,C & K,P^5,210,,,
5,BFTs,NCHs,Golf,NCHs,BFTs,35-37,,,
5,2-10ers 1CP,Kim & Ron,Pool,2-10ers 1CP,Kim & Ron,5,,,
5,PTCs,SOAs,Cup Pong,SOAs,PTCs,8.5,,,
